,pH,pH,Total Dissolved Solids (mg/L),Total Dissolved Solids (mg/L),Temperature,Temperature,Turbidity (NTU),Turbidity (NTU),Chloride (mg/L),Chloride (mg/L),Electrical Conductivity (µS/cm) at 25°C),Electrical Conductivity (µS/cm) at 25°C),Fluoride (mg/L),Fluoride (mg/L),Sodium (mg/L),Sodium (mg/L)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
District Name,,,,,,,,,,,,,,,,
Adilabad,8.294375,0.1929064972121636,351.3125,109.84335437339847,24.3125,3.439355559791205,13.525,24.772363633694706,44.831875,17.233758815669518,499.8125,134.39770769374505,0.375,0.06693280212272602,37.419375,15.0072055887608
Agra,7.53625,0.2633795241932419,831.405303030303,264.7875655628751,25.379166666666666,6.598667746822317,40.03787878787879,91.22248783045575,203.66375000000002,77.37014822561981,1298.583106060606,441.42586204431944,0.4674621212121212,0.13639296310600837,163.55704545454546,68.644382667818
Akola,8.43142857142857,0.17053138239324822,847.5714285714286,339.87686846016123,23.428571428571427,5.028490259085154,17.98,15.366581706200417,202.2342857142857,98.91856193474557,1310.0,513.2273700157984,0.3985714285714286,0.05814595756329397,164.77142857142857,78.76853166685525
Alappuzha,6.59,0.15775206586829305,24.11,6.178409411583442,28.18375,1.246055920552065,6.275,5.250510179292784,5.6499999999999995,1.9346465162548798,47.15,11.866521935982034,0.34087500000000004,0.24176697015337487,3.18125,1.154202724208979
Anand,8.416875,0.44320934535445433,240.046875,28.45850763385233,28.625,4.049299371104264,7.109375,24.513110963869604,52.40859375,11.893673904368335,399.71875,50.36295840560877,0.4171875,0.12013839572336617,37.51453125,8.351452098751336
Anantnag,7.678035714285714,0.3727412928943763,144.28482142857143,54.52681895564857,14.241071428571429,6.120955860758241,3.0107142857142857,3.4570443798360246,10.847678571428572,2.916519713675828,240.6769642857143,90.72877831346155,0.17380357142857145,0.11500583694955457,7.390178571428572,3.3929469577996
Anjaw,7.0,,228.0,,20.7,,8.0,,24.0,,340.0,,0.07,,3.0,
Anugul,7.706280487804878,0.39786416815799824,126.9189024390244,58.25069119379477,26.806280487804877,4.496905842240058,17.71469512195122,53.26475167568251,22.019024390243903,14.1760803126279,224.0341463414634,99.45108761031305,0.3718292682926829,0.13500854822998004,12.324878048780487,7.611938434689476
Ariyalur,7.976666666666667,0.21613688143200258,1176.25,334.3199678587728,24.916666666666668,2.64431923988467,45.75,43.63302544049529,323.0825,88.60068172577864,2061.25,596.1226422016317,0.7275,0.1978578461237443,247.15,68.79372989399015
Auraiya,7.823731343283583,0.3505443205493142,534.9253731343283,173.39185900927413,25.850746268656717,5.519260302171824,43.507462686567166,65.2926681888715,102.47179104477611,42.33932414990617,808.0895522388059,249.46486552541757,0.40134328358208954,0.11212676163121454,93.30253731343284,40.46086782661338
Ayodhya,8.113859649122807,0.19258607440963382,168.02631578947367,36.93679378315125,24.054385964912278,5.420350711163777,14.491228070175438,13.396767285421365,9.396754385964913,2.4548123211480424,307.82456140350877,62.877637260834206,0.13543859649122805,0.053383573604209866,6.7859649122807015,2.0937275559164745
Bagalkot,8.193095238095239,0.15081062418482183,715.8809523809524,440.23874910519294,23.214285714285715,1.982062417930229,89.28166666666667,178.3708142745313,191.35714285714286,148.08366478786064,1123.3333333333333,650.3205088474778,0.39016666666666666,0.1676040509241315,125.7842857142857,86.14056199148608
Baghpat,7.8652577319587635,0.35560527917511686,425.78350515463916,219.23960568429143,22.29845360824742,6.640630758511848,106.5668556701031,153.0549176014252,60.540360824742265,42.491540741471766,672.971030927835,351.58986543359805,0.45644329896907215,0.16605832479781388,47.817577319587635,33.66947169398448
